episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus
0,1,false,false
1,2,false,false
2,12,false,false
3,6,false,false
4,18,false,false
5,2,false,false
6,7,false,false
7,1,false,false
8,10,false,false
9,31,false,false
10,3,false,false
11,15,false,false
12,2,false,false
13,4,false,false
14,9,false,false
15,2,false,false
16,6,false,false
17,1,false,false
18,3,false,false
19,15,false,false
20,8,false,false
21,18,false,false
22,3,false,false
23,14,false,false
24,2,false,false
25,11,false,false
26,16,false,false
27,45,false,false
28,11,false,false
29,15,false,false
30,10,false,false
31,4,false,false
32,16,false,false
33,44,false,false
34,1,false,false
35,20,false,false
36,9,false,false
37,12,false,false
38,14,false,false
39,10,false,false
40,38,false,false
41,2,false,false
42,13,false,false
43,21,false,false
44,1,false,false
45,1,false,false
46,11,false,false
47,1,false,false
48,7,false,false
49,17,false,false
50,7,false,false
51,3,false,false
52,11,false,false
53,2,false,false
54,21,false,false
55,13,false,false
56,13,false,false
57,18,false,false
58,10,false,false
59,46,false,false
60,25,false,false
61,5,false,false
62,29,false,false
63,20,false,false
64,18,false,false
65,23,false,false
66,2,false,false
67,21,false,false
68,7,false,false
69,30,false,false
70,4,false,false
71,59,false,false
72,6,false,false
73,2,false,false
74,12,false,false
75,17,false,false
76,2,false,false
77,6,false,false
78,3,false,false
79,7,false,false
80,8,false,false
81,28,false,false
82,69,false,false
83,49,false,false
84,23,false,false
85,16,false,false
86,25,false,false
87,2,false,false
88,2,false,false
89,79,false,false
90,15,false,false
91,7,false,false
92,3,false,false
93,19,false,false
94,10,false,false
95,6,false,false
96,21,false,false
97,17,false,false
98,4,false,false
99,8,false,false
100,5,false,false
101,47,false,false
102,12,false,false
103,22,false,true
104,42,false,false
105,47,false,false
106,3,false,false
107,78,false,false
108,6,false,false
109,4,false,false
110,35,false,false
111,60,false,false
112,12,false,false
113,4,false,false
114,15,false,false
115,33,false,false
116,89,false,false
117,19,false,false
118,27,false,false
119,14,false,false
120,10,false,false
121,37,false,false
122,2,false,false
123,23,false,true
124,13,false,false
125,39,false,false
126,4,false,false
127,16,false,false
128,36,false,false
129,61,false,false
130,14,false,false
131,14,false,false
132,62,false,false
133,23,false,false
134,103,false,false
135,11,false,false
136,11,false,false
137,6,false,false
138,26,false,true
139,25,false,false
140,70,false,false
141,17,false,false
142,43,false,false
143,105,false,false
144,38,false,false
145,7,false,false
146,80,false,false
147,18,false,false
148,33,false,true
149,66,false,false
150,19,false,true
151,16,false,false
152,28,false,false
153,20,false,false
154,39,false,false
155,13,false,false
156,43,false,false
157,17,false,false
158,52,false,false
159,232,false,false
160,26,false,false
161,100,false,false
162,20,false,false
163,18,false,false
164,96,false,false
165,16,false,false
166,57,false,false
167,33,false,true
168,37,false,false
169,1,false,false
170,63,false,false
171,41,false,false
172,2,false,false
173,14,false,false
174,23,false,false
175,60,false,false
176,32,false,false
177,30,false,false
178,53,false,false
179,23,false,false
180,13,false,false
181,94,false,false
182,35,false,false
183,40,false,true
184,1,false,false
185,135,false,false
186,45,false,true
187,49,false,false
188,122,false,false
189,80,false,false
190,75,false,true
191,19,false,false
192,22,false,false
193,4,false,false
194,97,false,false
195,22,false,false
196,15,false,false
197,185,false,false
198,47,false,false
199,35,false,false
200,72,false,false
201,17,false,false
202,31,false,false
203,87,false,false
204,5,false,false
205,54,false,false
206,17,false,false
207,86,false,false
208,28,false,false
209,53,false,false
210,15,false,true
211,29,false,false
212,124,false,false
213,5,false,false
214,69,false,false
215,81,false,false
216,32,false,true
217,100,false,false
218,39,false,false
219,6,false,false
220,59,false,false
221,22,false,true
222,35,false,false
223,80,false,false
224,194,false,false
225,57,false,true
226,126,false,false
227,119,false,true
228,9,false,false
229,106,false,false
230,5,false,false
231,35,false,false
232,68,false,false
233,63,false,true
234,115,false,false
235,34,false,false
236,35,false,false
237,5,false,false
238,8,false,false
239,109,false,true
240,90,false,false
241,46,false,false
242,90,false,false
243,103,false,false
244,51,false,true
245,28,false,false
246,303,false,false
247,107,false,false
248,81,false,false
249,38,false,true
250,187,false,false
251,46,false,false
252,110,false,false
253,166,false,true
254,34,false,false
255,315,false,false
256,52,false,true
257,52,false,true
258,143,false,false
259,33,false,false
260,174,false,true
261,50,false,false
262,165,true,true
263,8,false,false
264,158,true,true
265,235,false,false
266,51,false,true
267,7,false,false
268,187,false,false
269,120,true,true
270,190,false,false
271,117,false,true
272,149,true,true
273,206,false,false
274,156,false,false
275,182,false,false
276,111,true,true
277,111,true,true
278,26,false,false
279,77,true,true
280,213,false,false
281,3,false,false
282,100,false,false
283,69,false,true
284,76,true,true
285,222,false,false
286,63,true,true
287,46,false,false
288,9,false,false
289,76,false,false
290,145,true,true
291,131,false,false
292,66,true,true
293,77,false,true
294,46,false,true
295,73,true,true
296,74,true,true
297,89,true,true
298,95,true,true
299,242,false,false
300,51,false,true
301,186,false,false
302,78,true,true
303,58,true,true
