episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,reward,alpha,gamma,epsilon,epsilonDecay
0,2,false,false,-2011.0,0.1,0.99,1.0,0.01
1,11,false,false,-2560.0,0.1,0.99,0.99,0.01
2,5,false,false,-2014.0,0.1,0.99,0.9801,0.01
3,5,false,false,-2044.0,0.1,0.99,0.9702989999999999,0.01
4,19,false,false,-4108.0,0.1,0.99,0.96059601,0.01
5,2,false,false,-2501.0,0.1,0.99,0.9509900498999999,0.01
6,1,false,false,-2000.0,0.1,0.99,0.9414801494009999,0.01
7,42,false,false,-4261.0,0.1,0.99,0.9320653479069899,0.01
8,8,false,false,-3547.0,0.1,0.99,0.92274469442792,0.01
9,12,false,false,-3081.0,0.1,0.99,0.9135172474836407,0.01
10,4,false,false,-2023.0,0.1,0.99,0.9043820750088043,0.01
11,2,false,false,-2501.0,0.1,0.99,0.8953382542587163,0.01
12,3,false,false,-3002.0,0.1,0.99,0.8863848717161291,0.01
13,4,false,false,-2513.0,0.1,0.99,0.8775210229989678,0.01
14,1,false,false,-2000.0,0.1,0.99,0.8687458127689781,0.01
15,11,false,false,-4530.0,0.1,0.99,0.8600583546412883,0.01
16,14,false,false,-3063.0,0.1,0.99,0.8514577710948754,0.01
17,5,false,false,-2534.0,0.1,0.99,0.8429431933839266,0.01
18,8,false,false,-3027.0,0.1,0.99,0.8345137614500874,0.01
19,11,false,false,-2050.0,0.1,0.99,0.8261686238355865,0.01
20,11,false,false,-3060.0,0.1,0.99,0.8179069375972307,0.01
21,18,false,false,-2627.0,0.1,0.99,0.8097278682212583,0.01
22,1,false,false,-2000.0,0.1,0.99,0.8016305895390458,0.01
23,15,false,false,-2584.0,0.1,0.99,0.7936142836436553,0.01
24,2,false,false,-2011.0,0.1,0.99,0.7856781408072188,0.01
25,9,false,false,-2058.0,0.1,0.99,0.7778213593991465,0.01
26,7,false,false,-3006.0,0.1,0.99,0.7700431458051551,0.01
27,3,false,false,-2012.0,0.1,0.99,0.7623427143471035,0.01
28,6,false,false,-3515.0,0.1,0.99,0.7547192872036325,0.01
29,32,false,false,-4641.0,0.1,0.99,0.7471720943315961,0.01
30,27,false,false,-4616.0,0.1,0.99,0.7397003733882802,0.01
31,3,false,false,-2002.0,0.1,0.99,0.7323033696543974,0.01
32,11,false,false,-2520.0,0.1,0.99,0.7249803359578534,0.01
33,13,false,false,-4072.0,0.1,0.99,0.7177305325982748,0.01
34,1,false,false,-2000.0,0.1,0.99,0.7105532272722921,0.01
35,7,false,false,-2536.0,0.1,0.99,0.7034476949995692,0.01
36,8,false,false,-3027.0,0.1,0.99,0.6964132180495735,0.01
37,37,false,false,-4186.0,0.1,0.99,0.6894490858690777,0.01
38,48,false,false,-5177.0,0.1,0.99,0.682554595010387,0.01
39,54,false,false,-6233.0,0.1,0.99,0.6757290490602831,0.01
40,9,false,false,-3028.0,0.1,0.99,0.6689717585696803,0.01
41,3,false,false,-2002.0,0.1,0.99,0.6622820409839835,0.01
42,7,false,false,-2016.0,0.1,0.99,0.6556592205741436,0.01
43,1,false,false,-2000.0,0.1,0.99,0.6491026283684022,0.01
44,14,false,false,-3553.0,0.1,0.99,0.6426116020847181,0.01
45,22,false,false,-4041.0,0.1,0.99,0.6361854860638709,0.01
46,6,false,false,-2515.0,0.1,0.99,0.6298236312032323,0.01
47,31,false,false,-3110.0,0.1,0.99,0.6235253948912,0.01
48,6,false,false,-2015.0,0.1,0.99,0.617290140942288,0.01
49,31,false,false,-4150.0,0.1,0.99,0.6111172395328651,0.01
50,2,false,false,-2011.0,0.1,0.99,0.6050060671375365,0.01
51,1,false,false,-2000.0,0.1,0.99,0.5989560064661611,0.01
52,1,false,false,-2000.0,0.1,0.99,0.5929664464014994,0.01
53,2,false,false,-2011.0,0.1,0.99,0.5870367819374844,0.01
54,1,false,false,-2000.0,0.1,0.99,0.5811664141181095,0.01
55,25,false,false,-3644.0,0.1,0.99,0.5753547499769285,0.01
56,9,false,false,-3028.0,0.1,0.99,0.5696012024771592,0.01
57,1,false,false,-2000.0,0.1,0.99,0.5639051904523876,0.01
58,9,false,false,-2018.0,0.1,0.99,0.5582661385478638,0.01
59,13,false,false,-2042.0,0.1,0.99,0.5526834771623851,0.01
60,10,false,false,-2019.0,0.1,0.99,0.5471566423907612,0.01
61,4,false,false,-2503.0,0.1,0.99,0.5416850759668536,0.01
62,1,false,false,-2000.0,0.1,0.99,0.536268225207185,0.01
63,5,false,false,-2004.0,0.1,0.99,0.5309055429551132,0.01
64,10,false,false,-2019.0,0.1,0.99,0.525596487525562,0.01
65,13,false,false,-2052.0,0.1,0.99,0.5203405226503064,0.01
66,13,false,false,-4032.0,0.1,0.99,0.5151371174238033,0.01
67,23,false,false,-2112.0,0.1,0.99,0.5099857462495653,0.01
