episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,agentHasGold,reward,alpha,gamma,epsilon,epsilonDecay
0,34,false,false,false,-5703.0,0.1,0.99,1.0,0.01
1,13,false,false,false,-3542.0,0.1,0.99,0.99,0.01
2,22,false,false,false,-5621.0,0.1,0.99,0.9801,0.01
3,12,false,false,false,-4561.0,0.1,0.99,0.9702989999999999,0.01
4,1,false,false,false,-2000.0,0.1,0.99,0.96059601,0.01
5,20,false,false,false,-4069.0,0.1,0.99,0.9509900498999999,0.01
6,41,false,false,false,-4290.0,0.1,0.99,0.9414801494009999,0.01
7,1,false,false,false,-2000.0,0.1,0.99,0.9320653479069899,0.01
8,7,false,false,false,-2516.0,0.1,0.99,0.92274469442792,0.01
9,1,false,false,false,-2000.0,0.1,0.99,0.9135172474836407,0.01
10,18,false,false,false,-2107.0,0.1,0.99,0.9043820750088043,0.01
11,19,false,false,false,-4108.0,0.1,0.99,0.8953382542587163,0.01
12,5,false,false,false,-2524.0,0.1,0.99,0.8863848717161291,0.01
13,2,false,false,false,-2011.0,0.1,0.99,0.8775210229989678,0.01
14,10,false,false,false,-2049.0,0.1,0.99,0.8687458127689781,0.01
15,17,false,false,false,-3586.0,0.1,0.99,0.8600583546412883,0.01
16,6,false,false,false,-2545.0,0.1,0.99,0.8514577710948754,0.01
17,21,false,false,false,-4100.0,0.1,0.99,0.8429431933839266,0.01
18,1,false,false,false,-2000.0,0.1,0.99,0.8345137614500874,0.01
19,3,false,false,false,-2022.0,0.1,0.99,0.8261686238355865,0.01
20,16,false,false,false,-5065.0,0.1,0.99,0.8179069375972307,0.01
21,6,false,false,false,-2525.0,0.1,0.99,0.8097278682212583,0.01
22,1,false,false,false,-2000.0,0.1,0.99,0.8016305895390458,0.01
23,8,false,false,false,-4027.0,0.1,0.99,0.7936142836436553,0.01
24,32,false,false,false,-3141.0,0.1,0.99,0.7856781408072188,0.01
25,9,false,false,false,-2528.0,0.1,0.99,0.7778213593991465,0.01
26,7,false,false,false,-3036.0,0.1,0.99,0.7700431458051551,0.01
27,2,false,false,false,-2001.0,0.1,0.99,0.7623427143471035,0.01
28,6,false,false,false,-2535.0,0.1,0.99,0.7547192872036325,0.01
29,1,false,false,false,-2000.0,0.1,0.99,0.7471720943315961,0.01
30,1,false,false,false,-2000.0,0.1,0.99,0.7397003733882802,0.01
31,14,false,false,false,-2053.0,0.1,0.99,0.7323033696543974,0.01
32,12,false,false,false,-3531.0,0.1,0.99,0.7249803359578534,0.01
33,8,false,false,false,-2047.0,0.1,0.99,0.7177305325982748,0.01
34,16,false,false,false,-2545.0,0.1,0.99,0.7105532272722921,0.01
35,5,false,false,false,-2014.0,0.1,0.99,0.7034476949995692,0.01
36,4,false,false,false,-2013.0,0.1,0.99,0.6964132180495735,0.01
37,15,false,false,false,-2584.0,0.1,0.99,0.6894490858690777,0.01
38,3,false,false,false,-2002.0,0.1,0.99,0.682554595010387,0.01
39,13,false,false,false,-2552.0,0.1,0.99,0.6757290490602831,0.01
40,10,false,false,false,-2079.0,0.1,0.99,0.6689717585696803,0.01
41,3,false,false,false,-2512.0,0.1,0.99,0.6622820409839835,0.01
42,40,false,false,false,-5179.0,0.1,0.99,0.6556592205741436,0.01
43,4,false,false,false,-3003.0,0.1,0.99,0.6491026283684022,0.01
44,9,false,false,false,-2028.0,0.1,0.99,0.6426116020847181,0.01
45,2,false,false,false,-2011.0,0.1,0.99,0.6361854860638709,0.01
46,10,false,false,false,-2529.0,0.1,0.99,0.6298236312032323,0.01
47,11,false,false,false,-2540.0,0.1,0.99,0.6235253948912,0.01
48,3,false,false,false,-2022.0,0.1,0.99,0.617290140942288,0.01
49,65,false,false,false,-7724.0,0.1,0.99,0.6111172395328651,0.01
50,7,false,false,false,-2036.0,0.1,0.99,0.6050060671375365,0.01
51,3,false,false,false,-2002.0,0.1,0.99,0.5989560064661611,0.01
52,16,false,false,false,-2535.0,0.1,0.99,0.5929664464014994,0.01
53,4,false,false,false,-2003.0,0.1,0.99,0.5870367819374844,0.01
54,44,false,false,false,-4173.0,0.1,0.99,0.5811664141181095,0.01
55,9,false,false,false,-3508.0,0.1,0.99,0.5753547499769285,0.01
56,1,false,false,false,-2000.0,0.1,0.99,0.5696012024771592,0.01
57,11,false,false,false,-3030.0,0.1,0.99,0.5639051904523876,0.01
58,15,false,false,false,-2564.0,0.1,0.99,0.5582661385478638,0.01
59,12,false,false,false,-3561.0,0.1,0.99,0.5526834771623851,0.01
60,48,false,false,false,-3207.0,0.1,0.99,0.5471566423907612,0.01
61,5,false,false,false,-2014.0,0.1,0.99,0.5416850759668536,0.01
62,43,false,false,false,-2212.0,0.1,0.99,0.536268225207185,0.01
63,12,false,false,false,-3021.0,0.1,0.99,0.5309055429551132,0.01
64,4,false,false,false,-2503.0,0.1,0.99,0.525596487525562,0.01
65,2,false,false,false,-2501.0,0.1,0.99,0.5203405226503064,0.01
66,18,false,false,false,-3047.0,0.1,0.99,0.5151371174238033,0.01
67,11,false,false,false,-2030.0,0.1,0.99,0.5099857462495653,0.01
68,5,false,false,false,-2024.0,0.1,0.99,0.5048858887870696,0.01
69,8,false,false,false,-3017.0,0.1,0.99,0.4998370298991989,0.01
70,13,false,false,false,-2042.0,0.1,0.99,0.49483865960020695,0.01
71,6,false,false,false,-3015.0,0.1,0.99,0.4898902730042049,0.01
72,16,false,false,false,-2055.0,0.1,0.99,0.48499137027416284,0.01
73,1,false,false,false,-2000.0,0.1,0.99,0.4801414565714212,0.01
74,25,false,false,false,-3124.0,0.1,0.99,0.475340042005707,0.01
75,4,false,false,false,-2503.0,0.1,0.99,0.47058664158564995,0.01
76,13,false,false,false,-2542.0,0.1,0.99,0.4658807751697934,0.01
77,11,false,false,false,-2020.0,0.1,0.99,0.4612219674180955,0.01
78,6,false,false,false,-2005.0,0.1,0.99,0.45660974774391455,0.01
79,20,false,false,false,-2549.0,0.1,0.99,0.4520436502664754,0.01
80,30,false,false,false,-3129.0,0.1,0.99,0.44752321376381066,0.01
81,2,false,false,false,-2001.0,0.1,0.99,0.44304798162617254,0.01
82,39,false,false,false,-6118.0,0.1,0.99,0.4386175018099108,0.01
83,3,false,false,false,-2002.0,0.1,0.99,0.4342313267918117,0.01
84,27,false,false,false,-2116.0,0.1,0.99,0.4298890135238936,0.01
85,36,false,false,false,-2095.0,0.1,0.99,0.42559012338865465,0.01
86,39,false,false,false,-2598.0,0.1,0.99,0.4213342221547681,0.01
87,10,false,false,false,-2029.0,0.1,0.99,0.41712087993322045,0.01
88,10,false,false,false,-2019.0,0.1,0.99,0.41294967113388825,0.01
89,1,false,false,false,-2000.0,0.1,0.99,0.40882017442254937,0.01
90,17,false,false,false,-2046.0,0.1,0.99,0.4047319726783239,0.01
91,72,false,false,false,-5201.0,0.1,0.99,0.40068465295154065,0.01
92,24,false,true,false,-3043.0,0.1,0.99,0.39667780642202527,0.01
93,8,false,false,false,-2037.0,0.1,0.99,0.392711028357805,0.01
94,22,false,false,false,-3061.0,0.1,0.99,0.38878391807422696,0.01
95,44,false,false,false,-3653.0,0.1,0.99,0.3848960788934847,0.01
96,1,false,false,false,-2000.0,0.1,0.99,0.38104711810454983,0.01
97,7,false,false,false,-2506.0,0.1,0.99,0.37723664692350434,0.01
98,17,false,false,false,-3046.0,0.1,0.99,0.37346428045426927,0.01
99,3,false,false,false,-2502.0,0.1,0.99,0.36972963764972655,0.01
100,11,false,false,false,-2040.0,0.1,0.99,0.36603234127322926,0.01
101,40,false,false,false,-2109.0,0.1,0.99,0.36237201786049694,0.01
102,5,false,false,false,-2504.0,0.1,0.99,0.358748297681892,0.01
103,21,false,false,false,-2550.0,0.1,0.99,0.35516081470507305,0.01
104,44,false,false,false,-2113.0,0.1,0.99,0.3516092065580223,0.01
105,3,false,false,false,-2502.0,0.1,0.99,0.34809311449244207,0.01
106,50,false,false,false,-3599.0,0.1,0.99,0.34461218334751764,0.01
107,3,false,false,false,-2002.0,0.1,0.99,0.34116606151404244,0.01
108,2,false,false,false,-2001.0,0.1,0.99,0.337754400898902,0.01
109,49,false,false,false,-4138.0,0.1,0.99,0.334376856889913,0.01
110,9,false,false,false,-2018.0,0.1,0.99,0.33103308832101386,0.01
111,54,false,false,false,-4653.0,0.1,0.99,0.3277227574378037,0.01
112,60,false,false,false,-4149.0,0.1,0.99,0.3244455298634257,0.01
113,8,false,false,false,-3507.0,0.1,0.99,0.3212010745647914,0.01
114,5,false,false,false,-2504.0,0.1,0.99,0.3179890638191435,0.01
115,34,false,true,false,-5053.0,0.1,0.99,0.31480917318095203,0.01
116,30,false,false,false,-2559.0,0.1,0.99,0.3116610814491425,0.01
117,23,false,false,false,-2062.0,0.1,0.99,0.30854447063465107,0.01
118,16,false,false,false,-2065.0,0.1,0.99,0.30545902592830454,0.01
119,3,false,false,false,-2002.0,0.1,0.99,0.3024044356690215,0.01
120,72,false,false,false,-4661.0,0.1,0.99,0.29938039131233124,0.01
121,23,false,false,false,-2102.0,0.1,0.99,0.2963865873992079,0.01
122,75,false,false,false,-4214.0,0.1,0.99,0.29342272152521587,0.01
123,14,false,false,false,-2523.0,0.1,0.99,0.2904884943099637,0.01
124,52,false,false,false,-2101.0,0.1,0.99,0.28758360936686406,0.01
125,36,false,false,false,-3065.0,0.1,0.99,0.2847077732731954,0.01
126,87,false,false,false,-4726.0,0.1,0.99,0.28186069554046345,0.01
127,19,false,false,false,-2538.0,0.1,0.99,0.2790420885850588,0.01
128,18,false,false,false,-2027.0,0.1,0.99,0.2762516676992082,0.01
129,50,false,false,false,-2189.0,0.1,0.99,0.27348915102221616,0.01
130,15,false,false,false,-2024.0,0.1,0.99,0.270754259511994,0.01
131,52,false,false,false,-4641.0,0.1,0.99,0.26804671691687404,0.01
132,34,false,false,false,-2053.0,0.1,0.99,0.2653662497477053,0.01
133,44,false,false,false,-3603.0,0.1,0.99,0.2627125872502282,0.01
134,105,false,false,false,-3194.0,0.1,0.99,0.2600854613777259,0.01
135,32,false,false,false,-2071.0,0.1,0.99,0.2574846067639487,0.01
136,33,false,false,false,-2572.0,0.1,0.99,0.2549097606963092,0.01
137,1,false,false,false,-2000.0,0.1,0.99,0.2523606630893461,0.01
138,18,false,false,false,-3047.0,0.1,0.99,0.24983705645845267,0.01
139,74,false,false,false,-4673.0,0.1,0.99,0.24733868589386815,0.01
140,81,false,false,false,-4210.0,0.1,0.99,0.24486529903492946,0.01
141,92,false,false,false,-3161.0,0.1,0.99,0.24241664604458016,0.01
142,80,false,false,false,-4159.0,0.1,0.99,0.23999247958413436,0.01
143,17,false,false,false,-2526.0,0.1,0.99,0.23759255478829303,0.01
144,15,false,false,false,-2524.0,0.1,0.99,0.2352166292404101,0.01
145,40,false,false,false,-3589.0,0.1,0.99,0.232864462948006,0.01
146,48,false,false,false,-4137.0,0.1,0.99,0.23053581831852593,0.01
147,8,false,false,false,-2007.0,0.1,0.99,0.22823046013534068,0.01
148,5,false,false,false,-2014.0,0.1,0.99,0.22594815553398728,0.01
149,106,false,false,false,-5255.0,0.1,0.99,0.22368867397864742,0.01
150,4,false,false,false,-2003.0,0.1,0.99,0.22145178723886094,0.01
151,63,false,false,false,-3602.0,0.1,0.99,0.21923726936647234,0.01
152,19,false,false,false,-2558.0,0.1,0.99,0.2170448966728076,0.01
153,22,false,true,false,-4081.0,0.1,0.99,0.21487444770607952,0.01
154,39,false,false,false,-3098.0,0.1,0.99,0.21272570322901874,0.01
155,11,false,false,false,-2010.0,0.1,0.99,0.21059844619672854,0.01
156,70,false,false,false,-5149.0,0.1,0.99,0.20849246173476127,0.01
157,18,false,false,false,-2537.0,0.1,0.99,0.20640753711741366,0.01
158,13,false,false,false,-2532.0,0.1,0.99,0.20434346174623952,0.01
159,49,false,false,false,-2098.0,0.1,0.99,0.20230002712877712,0.01
160,18,false,false,false,-2037.0,0.1,0.99,0.20027702685748935,0.01
161,17,false,true,false,-3036.0,0.1,0.99,0.19827425658891445,0.01
162,61,false,false,false,-3640.0,0.1,0.99,0.1962915140230253,0.01
163,45,false,false,false,-2574.0,0.1,0.99,0.19432859888279505,0.01
164,10,false,false,false,-2009.0,0.1,0.99,0.1923853128939671,0.01
165,14,false,false,false,-2023.0,0.1,0.99,0.19046145976502743,0.01
166,77,false,false,false,-2746.0,0.1,0.99,0.18855684516737714,0.01
167,13,false,false,false,-2022.0,0.1,0.99,0.18667127671570335,0.01
168,33,false,false,false,-2082.0,0.1,0.99,0.18480456394854633,0.01
169,1,false,false,false,-2000.0,0.1,0.99,0.18295651830906087,0.01
170,12,false,false,false,-2011.0,0.1,0.99,0.18112695312597027,0.01
171,26,false,false,false,-2555.0,0.1,0.99,0.17931568359471056,0.01
172,130,false,false,false,-4249.0,0.1,0.99,0.17752252675876345,0.01
173,2,false,false,false,-2001.0,0.1,0.99,0.17574730149117582,0.01
174,16,false,false,false,-2035.0,0.1,0.99,0.17398982847626407,0.01
175,59,false,false,false,-2628.0,0.1,0.99,0.17224993019150142,0.01
176,11,false,false,false,-2030.0,0.1,0.99,0.1705274308895864,0.01
177,253,false,false,false,-9512.0,0.1,0.99,0.16882215658069055,0.01
178,54,false,false,false,-2113.0,0.1,0.99,0.16713393501488363,0.01
179,18,false,false,false,-2037.0,0.1,0.99,0.16546259566473479,0.01
180,44,false,true,false,-3193.0,0.1,0.99,0.16380796970808745,0.01
181,127,false,false,false,-3766.0,0.1,0.99,0.16216989001100657,0.01
182,6,false,false,false,-2005.0,0.1,0.99,0.1605481911108965,0.01
183,91,false,false,false,-2220.0,0.1,0.99,0.15894270919978754,0.01
184,22,false,true,false,-3031.0,0.1,0.99,0.15735328210778965,0.01
185,68,false,false,false,-3107.0,0.1,0.99,0.15577974928671176,0.01
186,46,false,false,false,-2575.0,0.1,0.99,0.15422195179384465,0.01
187,94,false,true,true,-5253.0,0.1,0.99,0.1526797322759062,0.01
188,44,false,false,false,-2073.0,0.1,0.99,0.15115293495314713,0.01
189,111,false,false,false,-3230.0,0.1,0.99,0.14964140560361566,0.01
